disco_duro_tipo_disco_duro,procesador_frecuencia_turbo_máx__GHz,tipo_producto,tipo,medidas_profundidad_cm,sonido_número_altavoces,medidas_peso_kg,gráfica_salida_vídeo,disco_duro_capacidad_memoria_ssd_GB,procesador_número_hilos_ejecución,procesador_tdp_W,procesador_número_núcleos_procesador_cores,título,company_name,comunicaciones_conectividad,medidas_ancho_cm,almacenamiento_lector_óptico,ram_memoria_ram_GB,sistema_operativo_sistema_operativo,otras_características_fecha_lanzamiento,procesador_nivel_caché,ram_tipo_ram,gráfica_tarjeta_gráfica,pantalla_tamaño_pantalla_pulgadas,medidas_alto_cm,ofertas_count,pantalla_diagonal_pantalla_cm,medidas_altura_mm,gráfica_memoria_gráfica,pantalla_tecnología_pantalla,alimentación_vatios_hora_Wh,ram_frecuencia_memoria_MHz,disco_duro_número_discos_duros_instalados,alimentación_autonomía_batería_h,pantalla_luminosidad_cd_m2,procesador_frecuencia_reloj,procesador_frecuencia_reloj,procesador_caché_MB,procesador_name,equip_Force Touch Trackpad,equip_ScreenPad,equip_Touch Bar,equip_Touch ID,equip_Touchpad multitáctil,equip_TrackPoint / TouchStick / Pointing Stick,equip_USB-C,equip_altavoces estéreo,equip_altavoces estéreo JBL,equip_altavoz integrado,equip_con iluminación,equip_conector de seguridad Kensington,equip_disco duro SSD,equip_lector de tarjetas,equip_lector de tarjetas inteligentes,equip_micrófono integrado,equip_refrigeración líquida,equip_webcam,color,
5325,disco duro M.2 SSD,4.6,Mini PC,Desktop,17.0,,,,256.0,12.0,,10.0,"Acer Veriton Essential N2590G
DT.R0DEG.002",Acer,"wifi, Ethernet, Bluetooth",17.0,ninguno,16.0,,,,DDR4,Intel Iris Xe Graphics,,3.0,2,,,memoria compartida,,,3200.0,1.0,,,1.300 MHz,"1,3 GHz",12.0,Intel Core i5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,negro
6351,disco duro SSD,4.9,PC gaming,Desktop,44.0,,,,1000.0,20.0,65.0,12.0,"Captiva Advanced Gaming I78
I78-262",Captiva,Ethernet,27.0,ninguno,16.0,Microsoft Windows 11 Home,,,,NVIDIA GeForce RTX 3050,,44.0,1,,,8192 MB,,,,1.0,,,1.600 MHz,"2,1 GHz",25.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
1423,,4.8,Portátil profesional,Laptop,23.0,,1.62,,1000.0,,,16.0,"Dell Precision 3590
5JJV1",Dell,"Bluetooth, wifi",35.0,ninguno,32.0,Windows 11 Professional,2024.0,L3,DDR5,Intel Arc Graphics,15.6,,14,39.0,23.0,memoria compartida,Full HD,54.0,5600.0,1.0,,250.0,"3,8 GHz",,24.0,Intel Core Ultra 7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,gris
7068,,,Workstation,Desktop,43.0,,,,,,,,Lenovo ThinkStation P520c,Lenovo,Ethernet,18.0,,,,,,,,,38.0,5,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2807,SSD,,Portátil profesional,Laptop,22.0,4.0,1.44,Thunderbolt 4,512.0,,,10.0,"Dell Latitude 7455
R0K5N",Dell,"wifi, Bluetooth",31.0,,16.0,Windows 11 Professional,2024.0,,LPDDR5X,Qualcomm Adreno X Plus,14.0,,1,35.0,17.0,memoria compartida,WQXGA,54.0,,1.0,,400.0,"3,4 GHz",,42.0,Qualcomm Snapdragon X Plus,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,gris
899,,,Portátil gaming,Laptop,26.0,2.0,2.0,,,,,14.0,MSI Stealth 16 Studio A13,MSI,"wifi, Bluetooth, LAN",35.0,,,,2023.0,L3,,,16.0,,5,40.0,20.0,,,99.0,,,,,,,24.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,
7622,disco duro SSD,4.1,PC gaming,Desktop,,,,,1000.0,12.0,65.0,6.0,Vibox V-48 Gaming PC Ryzen 5 4500 / RTX 3050,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 3050,,,1,,,8192 MB,,,,,,,3.600 MHz,"3,6 GHz",8.0,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
7988,disco duro M.2 SSD,5.2,PC gaming,Desktop,,,,,1000.0,24.0,65.0,16.0,Vibox VII-111 PC Gamer i7-13700F / RTX 4060,Vibox,wifi,,,16.0,,,,DDR4,NVIDIA GeForce RTX 4060,,,1,,,8192 MB,,,,,,,2.100 MHz,"2,1 GHz",30.0,Intel Core i7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
1955,,,Portátil gaming,Laptop,24.0,4.0,2.1,HDMI 2.0,,,,,ASUS ROG Flow X16 GV601,ASUS,"Bluetooth, wifi",35.0,,,Windows 11 Home,2022.0,L3,,,16.0,,2,40.0,19.0,,,90.0,,,,,,,,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,
5172,disco duro M.2 SSD,,PC gaming,Desktop,,,,,1000.0,,,,Captiva Advanced Gaming R69-347,Captiva,Ethernet,,,16.0,ninguno,,,DDR4,NVIDIA GeForce RTX 3060,,,1,,,12288 MB,,,,,,,,,,AMD Ryzen 5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
