,medidas_profundidad_cm,ofertas_count,procesador_número_hilos_ejecución,procesador_frecuencia_turbo_máx__GHz,disco_duro_número_discos_duros_instalados,medidas_ancho_cm,procesador_tdp_W,ram_frecuencia_memoria_MHz,procesador_número_núcleos_procesador_cores,disco_duro_capacidad_memoria_ssd_GB,medidas_peso_kg,pantalla_diagonal_pantalla_cm,procesador_caché_MB,otras_características_fecha_lanzamiento,alimentación_vatios_hora_Wh,pantalla_tamaño_pantalla_pulgadas,pantalla_luminosidad_cd_m2,ram_memoria_ram_GB,sonido_número_altavoces,alimentación_autonomía_batería_h,equip_Force Touch Trackpad,equip_ScreenPad,equip_Touch Bar,equip_Touch ID,equip_Touchpad multitáctil,equip_TrackPoint / TouchStick / Pointing Stick,equip_USB-C,equip_altavoces estéreo,equip_altavoces estéreo JBL,equip_altavoz integrado,equip_con iluminación,equip_conector de seguridad Kensington,equip_disco duro SSD,equip_lector de tarjetas,equip_lector de tarjetas inteligentes,equip_micrófono integrado,equip_refrigeración líquida,equip_webcam,procesador_frecuencia,Bluetooth,Ethernet,LAN,NFC,infrarrojos,wifi,wifi Direct,os_DOS,os_No OS,os_Other OS,os_Windows,os_macOS,altura_mm,company_name_label,gráfica_tarjeta_gráfica_label,pantalla_tecnología_pantalla_label,procesador_name_label,procesador_nivel_caché_L2,procesador_nivel_caché_L3,procesador_nivel_caché_nan,tipo_producto_Barebone,tipo_producto_Chromebook,tipo_producto_Kit ampliación PC,tipo_producto_Mini PC,tipo_producto_Netbook,tipo_producto_PC completo,tipo_producto_PC de oficina,tipo_producto_PC gaming,tipo_producto_PC multimedia,tipo_producto_Portátil 3D,tipo_producto_Portátil convertible,tipo_producto_Portátil gaming,tipo_producto_Portátil multimedia,tipo_producto_Portátil profesional,tipo_producto_Thin Client,tipo_producto_Ultrabook,tipo_producto_Workstation,tipo_producto_nan,disco_duro_tipo_disco_duro_PCIe SSD,disco_duro_tipo_disco_duro_SATA,disco_duro_tipo_disco_duro_SSD,disco_duro_tipo_disco_duro_disco duro HDD,disco_duro_tipo_disco_duro_disco duro M.2 SSD,disco_duro_tipo_disco_duro_disco duro SSD,disco_duro_tipo_disco_duro_disco híbrido (HHD),disco_duro_tipo_disco_duro_memoria flash,disco_duro_tipo_disco_duro_sin disco duro,disco_duro_tipo_disco_duro_nan,gráfica_salida_vídeo_DVI,gráfica_salida_vídeo_DisplayPort,gráfica_salida_vídeo_HDMI,gráfica_salida_vídeo_HDMI 1.4,gráfica_salida_vídeo_HDMI 2.0,gráfica_salida_vídeo_HDMI 2.1,gráfica_salida_vídeo_Micro HDMI,gráfica_salida_vídeo_Mini DisplayPort,gráfica_salida_vídeo_Mini HDMI,gráfica_salida_vídeo_Thunderbolt 3,gráfica_salida_vídeo_Thunderbolt 4,gráfica_salida_vídeo_USB-C,gráfica_salida_vídeo_VGA,gráfica_salida_vídeo_nan,ram_tipo_ram_DDR3,ram_tipo_ram_DDR3L,ram_tipo_ram_DDR4,ram_tipo_ram_DDR4L,ram_tipo_ram_DDR5,ram_tipo_ram_LPDDR3,ram_tipo_ram_LPDDR4,ram_tipo_ram_LPDDR4X,ram_tipo_ram_LPDDR5,ram_tipo_ram_LPDDR5X,ram_tipo_ram_nan,almacenamiento_lector_óptico_grabadora DVD,almacenamiento_lector_óptico_lector DVD,almacenamiento_lector_óptico_ninguno,almacenamiento_lector_óptico_nan,tipo_Desktop,tipo_Laptop,tipo_nan,color_azul,color_blanco,color_bronce,color_dorado,color_gris,color_negro,color_plateado,color_rojo,color_rosa,color_verde,color_nan
0,17.0,2,12.0,4.6,1.0,17.0,,3200.0,10.0,256.0,,,12.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.3,1,1,0,0,0,1,0,False,False,False,False,False,30.0,6,87,11,48,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1,44.0,1,20.0,4.9,1.0,27.0,65.0,,12.0,1000.0,,,25.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.1,0,1,0,0,0,0,0,False,False,False,True,False,440.0,21,125,11,49,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
2,23.0,14,,4.8,1.0,35.0,,5600.0,16.0,1000.0,1.62,39.0,24.0,2024,54.0,15.6,250.0,32.0,,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3.8,1,0,0,0,0,1,0,False,False,False,True,False,23.0,27,63,8,45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
3,43.0,5,,,,18.0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,False,False,False,False,False,380.0,55,100,11,62,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
4,22.0,1,,,1.0,31.0,,,10.0,512.0,1.44,35.0,42.0,2024,54.0,14.0,400.0,16.0,4.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,3.4,1,0,0,0,0,1,0,False,False,False,True,False,17.0,27,189,19,68,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
5,26.0,5,,,,35.0,,,14.0,,2.0,40.0,24.0,2023,99.0,16.0,,,2.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,,1,0,1,0,0,1,0,False,False,False,False,False,20.0,58,100,11,62,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
6,,1,12.0,4.1,,,65.0,,6.0,1000.0,,,8.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6,0,0,0,0,0,1,0,False,False,False,False,False,,105,125,11,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
7,,1,24.0,5.2,,,65.0,,16.0,1000.0,,,30.0,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.1,0,0,0,0,0,1,0,False,False,False,False,False,,105,135,11,49,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
8,24.0,2,,,,35.0,,,,,2.1,40.0,,2022,90.0,16.0,,,4.0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,1,0,False,False,False,True,False,19.0,1,100,11,62,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
9,,1,,,,,,,,1000.0,,,,,,,,16.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,False,True,False,False,False,,21,127,11,9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
