,price_avg
5325,651.2950000000001
6351,1224.99
1423,2114.27
7068,3193.0350000000003
2807,1533.66
899,2267.7799999999997
7622,794.95
7988,1399.95
1955,3139.8199999999997
5172,962.99
7944,819.95
4875,351.995
196,1427.455
6911,685.88
3647,4662.66
417,1259.0549999999998
1805,1304.87
7279,894.95
5809,884.95
434,999.0
6952,2856.63
8057,974.95
5182,1158.8200000000002
7352,2079.95
2127,646.125
2621,552.81
1121,732.06
5685,499.0
7886,2507.76
2250,842.33
2413,402.865
5362,1139.12
1689,695.5250000000001
1208,4361.825
2568,1261.105
5140,2227.2349999999997
608,1237.615
6185,1299.0
890,723.74
1232,1412.955
2633,754.755
3076,786.64
6679,524.0
3994,1218.59
5180,1867.99
1951,3433.64
5406,959.9
2546,650.0
3073,1199.99
2299,1062.48
1171,1077.3400000000001
4855,453.565
6886,1784.95
6347,1111.0
4430,1860.5
7170,989.95
3351,2299.0
4439,459.0
1801,3943.6099999999997
7141,1249.95
4056,465.78499999999997
6874,2499.9
2412,1399.0
2679,999.45
914,2646.52
1463,1196.92
7570,649.95
4476,3949.495
5529,1063.0700000000002
6675,2573.7
3925,1301.64
4185,1141.61
1584,433.435
3798,1909.36
7598,1879.95
4268,650.9
2361,2004.29
6893,746.01
3500,617.5
3693,2390.0
3113,4696.99
3902,541.35
4824,258.315
4770,425.06
3105,941.99
4359,560.145
6427,1469.9
4673,245.125
254,1235.075
4483,1369.0
4122,1972.08
6594,1770.99
221,3087.79
267,1516.455
107,1410.965
7152,1649.95
1239,2172.82
4965,1269.055
7126,4259.69
5625,2745.83
1531,700.745
3495,2707.56
5075,1884.9650000000001
303,404.20000000000005
7364,522.95
4124,359.9
4071,211.495
5795,919.9
4870,231.97500000000002
1223,1843.8200000000002
5062,1049.995
1969,2110.355
6274,955.54
1451,966.75
1948,439.0
7933,799.95
3005,1519.1599999999999
377,745.0699999999999
2956,649.0
2086,1560.01
4500,876.9449999999999
762,529.165
291,925.855
3280,1281.19
1562,2280.26
3982,1111.41
188,246.255
2297,613.0
1214,1022.835
7134,1549.95
7039,1392.9
1555,973.12
6984,1137.88
4654,272.465
503,2007.475
7577,1074.95
6403,3299.9
2632,537.88
1558,669.575
3990,1196.02
7056,749.0
4766,448.99
7472,3557.0
676,799.99
5298,857.95
6624,2089.99
7047,204.99
5635,229.0
6991,2099.95
6302,6084.98
6703,554.96
2775,2460.0
6337,604.46
1205,1684.63
2462,341.0
4482,1811.9
7274,2850.69
1532,943.67
216,795.89
4661,1819.0
5481,3314.99
423,2097.63
507,936.14
5373,694.11
7994,1774.95
6521,3152.99
6050,299.0
1601,1489.57
508,2396.45
2147,1149.0
6298,665.65
1917,1588.5
5825,784.95
2047,2316.4
5229,979.99
1898,1318.495
2779,4032.5
3802,993.1
3516,981.25
7509,799.95
5187,827.99
2561,511.86
348,1809.81
7131,989.95
6781,819.0
333,2745.64
4884,4053.455
5779,1599.95
2349,399.0
7931,1749.95
2919,999.0
7067,384.99
6232,1585.72
7558,671.95
6640,1202.56
3816,2126.98
753,752.74
1582,559.995
6901,869.85
7671,1213.24
5330,1196.38
5356,766.03
4474,413.4
2116,1049.74
4273,322.605
2304,3679.96
2975,1777.38
4530,926.0350000000001
3174,390.91499999999996
4614,674.0550000000001
6268,1008.3
259,976.575
5109,710.635
6810,2455.21
4878,964.995
6853,180.27
381,2545.31
3926,1689.31
4618,2062.435
2512,2939.67
603,647.135
45,1355.2350000000001
4192,916.55
1671,2053.255
1605,1007.165
5174,837.095
5381,3614.99
5629,942.99
2348,2246.99
5750,4429.81
4438,5075.415
7717,2106.9
2202,1192.69
1891,2534.005
7084,2692.9399999999996
6898,1149.95
3125,1537.79
1619,762.165
6599,2469.9
7017,1384.95
5904,851.2
3880,531.51
7963,949.95
5899,326.42
1311,896.96
428,3153.3199999999997
3070,787.7
813,1626.1999999999998
7239,373.44
411,3775.195
6759,3111.99
669,1860.565
4825,407.925
440,1397.395
2816,409.99
3192,1229.54
436,1708.99
2697,3399.0
758,1848.125
1887,3298.725
6737,663.51
5070,3589.9
2531,663.79
7686,2499.95
6709,2299.0
8026,1224.95
1062,845.975
630,4088.6499999999996
1794,1294.915
6012,2573.51
7661,749.0
1236,1137.425
210,1082.27
2864,2099.0
6888,872.9
110,1102.8999999999999
51,2017.81
1518,790.1700000000001
1122,1349.0
1483,885.8
4999,4652.875
656,1267.145
3525,1032.72
5724,1054.95
5652,2099.9
4831,459.875
2171,1814.44
6867,714.65
1815,1695.0
1721,962.705
5660,694.26
5252,259.71500000000003
5820,357.675
6488,1421.99
6980,2755.09
3521,523.47
1517,1033.51
2925,362.88
6343,2599.9
4346,2110.27
6276,586.77
7379,1749.95
7153,1209.95
2866,397.13
6023,1234.34
3985,1107.4
3799,3970.38
2495,1348.955
712,2344.72
1901,629.15
2502,914.23
6489,1909.9
4724,787.32
57,1032.1
3168,574.99
1993,749.0
7977,501.95
6392,3066.99
530,674.99
4933,784.815
4531,1637.745
7831,944.95
569,5410.015
4887,974.645
4850,905.5
2153,699.0
2949,699.9
2783,597.99
644,908.815
3219,645.0
4478,491.945
4013,860.44
737,1460.3899999999999
3837,1389.0
5398,925.51
3482,4925.62
2136,802.875
3445,4171.61
3740,1082.56
325,1107.725
1844,1562.455
7775,1629.95
5639,1538.25
290,1028.03
1766,1558.2350000000001
6372,557.76
5231,815.99
2737,509.0
2344,5513.745000000001
4801,647.575
6701,1641.9
3465,3312.88
4429,1399.0
7566,864.95
4019,1289.47
4078,622.3050000000001
2383,1228.03
874,1861.355
3436,234.99
6844,209.495
2031,1965.37
3710,2186.99
5292,1342.71
3359,2716.61
6110,799.9
372,616.365
6638,806.64
5757,1599.95
7723,2191.9
7586,1164.95
3870,948.39
2258,399.24
6379,3499.9
3553,778.24
2912,1815.1
5720,959.7
1569,1424.2849999999999
7182,1199.95
4625,3679.0
7735,985.9
5881,336.94
6224,831.17
6418,1232.99
5572,702.565
1373,1499.8
921,1199.0
7317,1614.95
2372,1407.095
1760,2864.535
6808,1086.73
7830,522.95
2828,1004.495
4138,278.775
3441,1079.99
5972,1535.52
974,1339.875
7929,1629.95
1437,1075.725
122,1360.955
6430,1380.99
481,1049.0
666,2613.8
3884,1888.88
293,657.49
7805,1329.95
5384,3296.08
5271,853.615
950,2948.675
1981,3257.88
2488,1149.95
5920,341.635
441,1913.3200000000002
1392,400.495
5979,979.0
856,712.87
6950,2703.62
3093,1053.89
4058,809.0
1459,880.26
4436,796.205
4574,2195.985
1496,1251.115
1186,627.34
6229,2060.99
3286,1433.92
4376,1005.18
7150,619.95
6158,374.0
3956,595.94
5548,440.08500000000004
3066,1199.99
5333,1248.875
3289,2444.0
5069,256.7
5606,734.475
279,784.77
2564,1053.9850000000001
2704,2124.0
3652,469.0
5310,1418.585
6310,783.26
6979,1074.95
5778,883.9
3259,1954.0
6971,3185.99
1114,1916.8400000000001
3565,1710.5
1713,1630.195
2112,500.81
3883,4843.33
6098,2773.69
1718,5278.545
5125,11559.9
6346,2768.99
3429,4325.07
581,3981.5699999999997
59,1523.965
7436,529.0
795,9450.06
2505,1299.19
6892,2833.935
5277,442.765
3297,4765.985
5165,1609.9
4361,1126.01
6081,179.9
4809,1048.23
6465,2199.0
4573,404.17
7408,789.95
7191,1184.95
3510,470.635
7516,1730.99
184,1857.5
